case_id,activity,event_index,station,timestamp_raw,i1_pos_switch,i2_pos_switch,i5_light_barrier,m1_speed,o7_valve,o8_compressor,i3_pos_switch,i4_light_barrier,m2_speed,m3_speed,i7_light_barrier,o7_compressor,o8_valve,i1_light_barrier,i3_light_barrier,i6_light_barrier,i8_light_barrier,o5_valve,o6_valve,i2_light_barrier,i5_pos_switch,i6_pos_switch,i7_pos_switch,i8_pos_switch,m4_speed,i4_pos_switch,timestamp
case_Pickup-move-oven_001,Pickup-move-oven,1,VGR_1,2023-03-20T11:08:02Z,0.0,0.0,,0.0,,,0.0,1.0,0.0,0.0,1.0,0.0,512.0,,,,,,,,,,,,,,2023-03-20 11:08:02+00:00
case_Pickup-move-oven_001,Pickup-move-oven,2,VGR_1,2023-03-20T11:08:04Z,0.0,1.0,,0.0,,,0.0,1.0,0.0,512.0,1.0,0.0,512.0,,,,,,,,,,,,,,2023-03-20 11:08:04+00:00
case_Pickup-move-oven_001,Pickup-move-oven,3,VGR_1,2023-03-20T11:08:06Z,0.0,1.0,,0.0,,,0.0,1.0,0.0,-512.0,1.0,0.0,512.0,,,,,,,,,,,,,,2023-03-20 11:08:06+00:00
case_Pickup-move-oven_001,Pickup-move-oven,4,VGR_1,2023-03-20T11:08:08Z,0.0,0.0,,0.0,,,0.0,1.0,-512.0,0.0,1.0,0.0,512.0,,,,,,,,,,,,,,2023-03-20 11:08:08+00:00
case_Pickup-move-oven_001,Pickup-move-oven,5,VGR_1,2023-03-20T11:08:10Z,0.0,0.0,,0.0,,,0.0,1.0,512.0,0.0,1.0,512.0,512.0,,,,,,,,,,,,,,2023-03-20 11:08:10+00:00
case_Pickup-move-oven_001,Pickup-move-oven,6,VGR_1,2023-03-20T11:08:12Z,0.0,1.0,,0.0,,,1.0,1.0,0.0,0.0,1.0,512.0,512.0,,,,,,,,,,,,,,2023-03-20 11:08:12+00:00
case_Pickup-move-oven_001,Pickup-move-oven,7,VGR_1,2023-03-20T11:08:14Z,0.0,1.0,,512.0,,,1.0,1.0,0.0,0.0,1.0,512.0,512.0,,,,,,,,,,,,,,2023-03-20 11:08:14+00:00
case_Pickup-move-oven_001,Pickup-move-oven,8,VGR_1,2023-03-20T11:08:16Z,0.0,1.0,,0.0,,,0.0,1.0,0.0,-512.0,1.0,512.0,512.0,,,,,,,,,,,,,,2023-03-20 11:08:16+00:00
case_Pickup-move-oven_001,Pickup-move-oven,9,VGR_1,2023-03-20T11:08:18Z,0.0,1.0,,0.0,,,0.0,1.0,0.0,-512.0,1.0,512.0,512.0,,,,,,,,,,,,,,2023-03-20 11:08:18+00:00
case_Pickup-move-oven_001,Pickup-move-oven,10,VGR_1,2023-03-20T11:08:20Z,0.0,1.0,,0.0,,,0.0,1.0,0.0,-512.0,1.0,512.0,512.0,,,,,,,,,,,,,,2023-03-20 11:08:20+00:00
